Komentar,Username,Like,Sentimen,cleaning,case_folding,token,stopword,stemming
"Stuju  pak benix.. Mari kita sama memberitakan indonesia yang positif sya tidak bisa berkuntribusi kenegara karna kterbatasan pengetahuan tapi sedikitnya saya tiap bulan megirim ringgit ke kampung walau tidak seberapa tapi setidaknya ada devisa negara yg saya buat utk memajukan negara indonesiaku dengan bekerja di luar negri, daripada orang2 yang asyik menyalahkan pemerintah apalagi sampai trima uang dari orang yg mau merusak negara, salam orang lombok dari serawak malaysia",@MahmudZaeniah,1,Netral,Stuju pak benix Mari kita sama memberitakan indonesia yang positif sya tidak bisa berkuntribusi kenegara karna kterbatasan pengetahuan tapi sedikitnya saya tiap bulan megirim ringgit ke kampung walau tidak seberapa tapi setidaknya ada devisa negara yg saya buat utk memajukan negara indonesiaku dengan bekerja di luar negri daripada orang yang asyik menyalahkan pemerintah apalagi sampai trima uang dari orang yg mau merusak negara salam orang lombok dari serawak malaysia,stuju pak benix mari kita sama memberitakan indonesia yang positif sya tidak bisa berkuntribusi kenegara karna kterbatasan pengetahuan tapi sedikitnya saya tiap bulan megirim ringgit ke kampung walau tidak seberapa tapi setidaknya ada devisa negara yg saya buat utk memajukan negara indonesiaku dengan bekerja di luar negri daripada orang yang asyik menyalahkan pemerintah apalagi sampai trima uang dari orang yg mau merusak negara salam orang lombok dari serawak malaysia,"['stuju', 'pak', 'benix', 'mari', 'kita', 'sama', 'memberitakan', 'indonesia', 'yang', 'positif', 'sya', 'tidak', 'bisa', 'berkuntribusi', 'kenegara', 'karna', 'kterbatasan', 'pengetahuan', 'tapi', 'sedikitnya', 'saya', 'tiap', 'bulan', 'megirim', 'ringgit', 'ke', 'kampung', 'walau', 'tidak', 'seberapa', 'tapi', 'setidaknya', 'ada', 'devisa', 'negara', 'yg', 'saya', 'buat', 'utk', 'memajukan', 'negara', 'indonesiaku', 'dengan', 'bekerja', 'di', 'luar', 'negri', 'daripada', 'orang', 'yang', 'asyik', 'menyalahkan', 'pemerintah', 'apalagi', 'sampai', 'trima', 'uang', 'dari', 'orang', 'yg', 'mau', 'merusak', 'negara', 'salam', 'orang', 'lombok', 'dari', 'serawak', 'malaysia']","['stuju', 'pak', 'benix', 'mari', 'sama', 'memberitakan', 'indonesia', 'positif', 'sya', 'tidak', 'bisa', 'berkuntribusi', 'kenegara', 'karna', 'kterbatasan', 'pengetahuan', 'tapi', 'sedikitnya', 'tiap', 'bulan', 'megirim', 'ringgit', 'kampung', 'walau', 'tidak', 'seberapa', 'tapi', 'setidaknya', 'ada', 'devisa', 'negara', 'yg', 'buat', 'utk', 'memajukan', 'negara', 'indonesiaku', 'bekerja', 'luar', 'negri', 'daripada', 'orang', 'asyik', 'menyalahkan', 'pemerintah', 'apalagi', 'sampai', 'trima', 'uang', 'orang', 'yg', 'mau', 'merusak', 'negara', 'salam', 'orang', 'lombok', 'serawak', 'malaysia']",stuju pak benix mari sama berita indonesia positif sya tidak bisa berkuntribusi negara karna kterbatasan tahu tapi sedikit tiap bulan megirim ringgit kampung walau tidak berapa tapi tidak ada devisa negara yg buat utk maju negara indonesia kerja luar negri daripada orang asyik salah perintah apalagi sampai trima uang orang yg mau rusak negara salam orang lombok serawak malaysia
Kumpulan orang2 tolol....yang mengatakan Indonesia bangkrut....cuci otak sama asing.....,@bangsonni,0,Netral,Kumpulan orang tololyang mengatakan Indonesia bangkrutcuci otak sama asing,kumpulan orang tololyang mengatakan indonesia bangkrutcuci otak sama asing,"['kumpulan', 'orang', 'tololyang', 'mengatakan', 'indonesia', 'bangkrutcuci', 'otak', 'sama', 'asing']","['kumpulan', 'orang', 'tololyang', 'mengatakan', 'indonesia', 'bangkrutcuci', 'otak', 'sama', 'asing']",kumpul orang tololyang kata indonesia bangkrutcuci otak sama asing
Asing itu oligarki yang simpan duit diluar ntar juga balik lagi,@adnantambun8907,0,Netral,Asing itu oligarki yang simpan duit diluar ntar juga balik lagi,asing itu oligarki yang simpan duit diluar ntar juga balik lagi,"['asing', 'itu', 'oligarki', 'yang', 'simpan', 'duit', 'diluar', 'ntar', 'juga', 'balik', 'lagi']","['asing', 'oligarki', 'simpan', 'duit', 'diluar', 'ntar', 'balik', 'lagi']",asing oligarki simpan duit luar ntar balik lagi
"TEMPO,KOMPAS,TRIBUN...BBC.....",@YutupePro,0,Netral,TEMPOKOMPASTRIBUNBBC,tempokompastribunbbc,['tempokompastribunbbc'],['tempokompastribunbbc'],tempokompastribunbbc
Good news 🎉🎉,@aanandiyanto2023,0,Netral,Good news,good news,"['good', 'news']","['good', 'news']",good news
G ada emerging market g ada frontier ihsg baek ke develpoment market,@GearShiftNation7,0,Netral,G ada emerging market g ada frontier ihsg baek ke develpoment market,g ada emerging market g ada frontier ihsg baek ke develpoment market,"['g', 'ada', 'emerging', 'market', 'g', 'ada', 'frontier', 'ihsg', 'baek', 'ke', 'develpoment', 'market']","['g', 'ada', 'emerging', 'market', 'g', 'ada', 'frontier', 'ihsg', 'baek', 'develpoment', 'market']",g ada emerging market g ada frontier ihsg baek develpoment market
10+2 = 13,@MuhamadAkil-fx3gc,0,Netral,,,[],[],
Pasti meroket !!!!! 🚀🚀🚀🚀🚀🎉🎉🎉💥💥💥🔥🔥🔥,@rensylorens2349,0,Netral,Pasti meroket,pasti meroket,"['pasti', 'meroket']","['pasti', 'meroket']",pasti roket
"Berita paling aktual dari majalah pak tani indonesia tambah terang karena brangkat ke sawah dan ladang pagi dan siang apalagi musim kemarau, kwkw...yang pasti petani makin makmur",@bujangumbaranchannel1729,0,Netral,Berita paling aktual dari majalah pak tani indonesia tambah terang karena brangkat ke sawah dan ladang pagi dan siang apalagi musim kemarau kwkwyang pasti petani makin makmur,berita paling aktual dari majalah pak tani indonesia tambah terang karena brangkat ke sawah dan ladang pagi dan siang apalagi musim kemarau kwkwyang pasti petani makin makmur,"['berita', 'paling', 'aktual', 'dari', 'majalah', 'pak', 'tani', 'indonesia', 'tambah', 'terang', 'karena', 'brangkat', 'ke', 'sawah', 'dan', 'ladang', 'pagi', 'dan', 'siang', 'apalagi', 'musim', 'kemarau', 'kwkwyang', 'pasti', 'petani', 'makin', 'makmur']","['berita', 'paling', 'aktual', 'majalah', 'pak', 'tani', 'indonesia', 'tambah', 'terang', 'brangkat', 'sawah', 'ladang', 'pagi', 'siang', 'apalagi', 'musim', 'kemarau', 'kwkwyang', 'pasti', 'petani', 'makin', 'makmur']",berita paling aktual majalah pak tani indonesia tambah terang brangkat sawah ladang pagi siang apalagi musim kemarau kwkwyang pasti tani makin makmur
Kita harus bersatu untuk Indonesia lebih baik.jangan mau di adu domba oleh bangsa asing.,@ilyas7765,0,Positif,Kita harus bersatu untuk Indonesia lebih baikjangan mau di adu domba oleh bangsa asing,kita harus bersatu untuk indonesia lebih baikjangan mau di adu domba oleh bangsa asing,"['kita', 'harus', 'bersatu', 'untuk', 'indonesia', 'lebih', 'baikjangan', 'mau', 'di', 'adu', 'domba', 'oleh', 'bangsa', 'asing']","['harus', 'bersatu', 'indonesia', 'lebih', 'baikjangan', 'mau', 'adu', 'domba', 'oleh', 'bangsa', 'asing']",harus satu indonesia lebih baikjangan mau adu domba oleh bangsa asing
Krn dibayar,@aguspurnomo8937,0,Netral,Krn dibayar,krn dibayar,"['krn', 'dibayar']","['krn', 'dibayar']",krn bayar
"Iblis menyesatkan lwt Brita bohong,panik,bingung,takut,,ditangkap antek iblis,LSM,media dana asing",@HamkaZaki-z6y,0,Negatif,Iblis menyesatkan lwt Brita bohongpanikbingungtakutditangkap antek iblisLSMmedia dana asing,iblis menyesatkan lwt brita bohongpanikbingungtakutditangkap antek iblislsmmedia dana asing,"['iblis', 'menyesatkan', 'lwt', 'brita', 'bohongpanikbingungtakutditangkap', 'antek', 'iblislsmmedia', 'dana', 'asing']","['iblis', 'menyesatkan', 'lwt', 'brita', 'bohongpanikbingungtakutditangkap', 'antek', 'iblislsmmedia', 'dana', 'asing']",iblis sesat lwt brita bohongpanikbingungtakutditangkap antek iblislsmmedia dana asing
"Pasar modal tidak bergerak karena narasi viral, tapi karena data dan kepercayaan jangka panjang. Jika isu MSCI bisa memicu kepanikan dan outflow besar, maka yang perlu dievaluasi bukan hanya kabarnya benar atau hoax, tapi juga seberapa rapuh kepercayaan investor terhadap pasar kita.🇮🇩",@febriannur796,0,Netral,Pasar modal tidak bergerak karena narasi viral tapi karena data dan kepercayaan jangka panjang Jika isu MSCI bisa memicu kepanikan dan outflow besar maka yang perlu dievaluasi bukan hanya kabarnya benar atau hoax tapi juga seberapa rapuh kepercayaan investor terhadap pasar kita,pasar modal tidak bergerak karena narasi viral tapi karena data dan kepercayaan jangka panjang jika isu msci bisa memicu kepanikan dan outflow besar maka yang perlu dievaluasi bukan hanya kabarnya benar atau hoax tapi juga seberapa rapuh kepercayaan investor terhadap pasar kita,"['pasar', 'modal', 'tidak', 'bergerak', 'karena', 'narasi', 'viral', 'tapi', 'karena', 'data', 'dan', 'kepercayaan', 'jangka', 'panjang', 'jika', 'isu', 'msci', 'bisa', 'memicu', 'kepanikan', 'dan', 'outflow', 'besar', 'maka', 'yang', 'perlu', 'dievaluasi', 'bukan', 'hanya', 'kabarnya', 'benar', 'atau', 'hoax', 'tapi', 'juga', 'seberapa', 'rapuh', 'kepercayaan', 'investor', 'terhadap', 'pasar', 'kita']","['pasar', 'modal', 'tidak', 'bergerak', 'narasi', 'viral', 'tapi', 'data', 'kepercayaan', 'jangka', 'panjang', 'jika', 'isu', 'msci', 'bisa', 'memicu', 'kepanikan', 'outflow', 'besar', 'maka', 'perlu', 'dievaluasi', 'bukan', 'hanya', 'kabarnya', 'benar', 'hoax', 'tapi', 'seberapa', 'rapuh', 'kepercayaan', 'investor', 'terhadap', 'pasar']",pasar modal tidak gerak narasi viral tapi data percaya jangka panjang jika isu msci bisa picu panik outflow besar maka perlu evaluasi bukan hanya kabar benar hoax tapi berapa rapuh percaya investor hadap pasar
"Kalo kata benix bagus ya bagus,, klo nggak ya nggak,, data bicara",@aliarman7232,0,Positif,Kalo kata benix bagus ya bagus klo nggak ya nggak data bicara,kalo kata benix bagus ya bagus klo nggak ya nggak data bicara,"['kalo', 'kata', 'benix', 'bagus', 'ya', 'bagus', 'klo', 'nggak', 'ya', 'nggak', 'data', 'bicara']","['kalo', 'kata', 'benix', 'bagus', 'ya', 'bagus', 'klo', 'nggak', 'ya', 'nggak', 'data', 'bicara']",kalo kata benix bagus ya bagus klo nggak ya nggak data bicara
23 Juni to the moon❤🎉,@GrosirKarakter,0,Netral,Juni to the moon,juni to the moon,"['juni', 'to', 'the', 'moon']","['juni', 'to', 'the', 'moon']",juni to the moon
"Kayaknya bg bennix lagi sibuk,ga upload video baru.",@Go_bidku,0,Netral,Kayaknya bg bennix lagi sibukga upload video baru,kayaknya bg bennix lagi sibukga upload video baru,"['kayaknya', 'bg', 'bennix', 'lagi', 'sibukga', 'upload', 'video', 'baru']","['kayaknya', 'bg', 'bennix', 'lagi', 'sibukga', 'upload', 'video', 'baru']",kayak bg bennix lagi sibukga upload video baru
"Lebih bagus dari Korsel, tapi downgrade karena GK ada fitur b inggris 😂",@Muhie99,0,Positif,Lebih bagus dari Korsel tapi downgrade karena GK ada fitur b inggris,lebih bagus dari korsel tapi downgrade karena gk ada fitur b inggris,"['lebih', 'bagus', 'dari', 'korsel', 'tapi', 'downgrade', 'karena', 'gk', 'ada', 'fitur', 'b', 'inggris']","['lebih', 'bagus', 'korsel', 'tapi', 'downgrade', 'gk', 'ada', 'fitur', 'b', 'inggris']",lebih bagus korsel tapi downgrade gk ada fitur b inggris
Indonesia gk butuh singapura,@BASSFISM,0,Netral,Indonesia gk butuh singapura,indonesia gk butuh singapura,"['indonesia', 'gk', 'butuh', 'singapura']","['indonesia', 'gk', 'butuh', 'singapura']",indonesia gk butuh singapura
"Bang ben, asli masalah kepemilikan saham indonesia itu sangat dipertanyakan. udh pernah investigasi soal ini dan banyak perusahaan yg kepemilikan ga transparan. jadinya harga sahamnya juga mereka yang atur.",@Rynaldi_Rizwan,0,Negatif,Bang ben asli masalah kepemilikan saham indonesia itu sangat dipertanyakan udh pernah investigasi soal ini dan banyak perusahaan yg kepemilikan ga transparan jadinya harga sahamnya juga mereka yang atur,bang ben asli masalah kepemilikan saham indonesia itu sangat dipertanyakan udh pernah investigasi soal ini dan banyak perusahaan yg kepemilikan ga transparan jadinya harga sahamnya juga mereka yang atur,"['bang', 'ben', 'asli', 'masalah', 'kepemilikan', 'saham', 'indonesia', 'itu', 'sangat', 'dipertanyakan', 'udh', 'pernah', 'investigasi', 'soal', 'ini', 'dan', 'banyak', 'perusahaan', 'yg', 'kepemilikan', 'ga', 'transparan', 'jadinya', 'harga', 'sahamnya', 'juga', 'mereka', 'yang', 'atur']","['bang', 'ben', 'asli', 'masalah', 'kepemilikan', 'saham', 'indonesia', 'sangat', 'dipertanyakan', 'udh', 'pernah', 'investigasi', 'soal', 'banyak', 'perusahaan', 'yg', 'kepemilikan', 'ga', 'transparan', 'jadinya', 'harga', 'sahamnya', 'mereka', 'atur']",bang ben asli masalah milik saham indonesia sangat tanya udh pernah investigasi soal banyak usaha yg milik ga transparan jadi harga saham mereka atur
"Om ben tolong dengan sangat angkat durian varietas mantuala batuhayam 🙏 varietas ini baru di temukan 5 tahun belakangan, sekarang baru viral di kalangan petani durian. Sumpah saya tidak ada maksud nyari keuntungan sama sekali, saya tidak jual bibitnya, saya juga belum punya pohonnya. Murni tulus demi kebaikan dunia pertanian indonesia. Sumpah om ben, durian ini unik dan amat sangat potensial sekali menjadi komoditas andalan indonesia kelak, bahkan saya yakin akan mengalahkan montong. Karna 2 hal, rasa istimewa, ramah pemula, bau yang tidak seperti durian sehingga orang yang tidak doyan durian insyaAllah doyan mantuala batuhayam. Orang eropa dan amerika yang mayoritas gak doyan durian bakal doyan varietas ini !. Selain itu om ben, mantuala batuhayam punya daya simpan yang gila. Difrozen berbulan bulan rasanya tidak berubah. Ini yang bikin saya yakin durian ini amat sangat potensial jadi maskot pertanian indonesia. Tolong om ben 🙏 boleh dipelajari dulu apa itu mantuala batuhayam karna ini varietas baru, persilangan dari kalimantan selatan. Dicicipi dulu juga boleh. Syukur syukur kalau om ben mau buka kebun durian mantuala batuhayam atau sekedar investasi",@Baramada_channel,0,Positif,Om ben tolong dengan sangat angkat durian varietas mantuala batuhayam varietas ini baru di temukan tahun belakangan sekarang baru viral di kalangan petani durian Sumpah saya tidak ada maksud nyari keuntungan sama sekali saya tidak jual bibitnya saya juga belum punya pohonnya Murni tulus demi kebaikan dunia pertanian indonesia Sumpah om ben durian ini unik dan amat sangat potensial sekali menjadi komoditas andalan indonesia kelak bahkan saya yakin akan mengalahkan montong Karna hal rasa istimewa ramah pemula bau yang tidak seperti durian sehingga orang yang tidak doyan durian insyaAllah doyan mantuala batuhayam Orang eropa dan amerika yang mayoritas gak doyan durian bakal doyan varietas ini Selain itu om ben mantuala batuhayam punya daya simpan yang gila Difrozen berbulan bulan rasanya tidak berubah Ini yang bikin saya yakin durian ini amat sangat potensial jadi maskot pertanian indonesia Tolong om ben boleh dipelajari dulu apa itu mantuala batuhayam karna ini varietas baru persilangan dari kalimantan selatan Dicicipi dulu juga boleh Syukur syukur kalau om ben mau buka kebun durian mantuala batuhayam atau sekedar investasi,om ben tolong dengan sangat angkat durian varietas mantuala batuhayam varietas ini baru di temukan tahun belakangan sekarang baru viral di kalangan petani durian sumpah saya tidak ada maksud nyari keuntungan sama sekali saya tidak jual bibitnya saya juga belum punya pohonnya murni tulus demi kebaikan dunia pertanian indonesia sumpah om ben durian ini unik dan amat sangat potensial sekali menjadi komoditas andalan indonesia kelak bahkan saya yakin akan mengalahkan montong karna hal rasa istimewa ramah pemula bau yang tidak seperti durian sehingga orang yang tidak doyan durian insyaallah doyan mantuala batuhayam orang eropa dan amerika yang mayoritas gak doyan durian bakal doyan varietas ini selain itu om ben mantuala batuhayam punya daya simpan yang gila difrozen berbulan bulan rasanya tidak berubah ini yang bikin saya yakin durian ini amat sangat potensial jadi maskot pertanian indonesia tolong om ben boleh dipelajari dulu apa itu mantuala batuhayam karna ini varietas baru persilangan dari kalimantan selatan dicicipi dulu juga boleh syukur syukur kalau om ben mau buka kebun durian mantuala batuhayam atau sekedar investasi,"['om', 'ben', 'tolong', 'dengan', 'sangat', 'angkat', 'durian', 'varietas', 'mantuala', 'batuhayam', 'varietas', 'ini', 'baru', 'di', 'temukan', 'tahun', 'belakangan', 'sekarang', 'baru', 'viral', 'di', 'kalangan', 'petani', 'durian', 'sumpah', 'saya', 'tidak', 'ada', 'maksud', 'nyari', 'keuntungan', 'sama', 'sekali', 'saya', 'tidak', 'jual', 'bibitnya', 'saya', 'juga', 'belum', 'punya', 'pohonnya', 'murni', 'tulus', 'demi', 'kebaikan', 'dunia', 'pertanian', 'indonesia', 'sumpah', 'om', 'ben', 'durian', 'ini', 'unik', 'dan', 'amat', 'sangat', 'potensial', 'sekali', 'menjadi', 'komoditas', 'andalan', 'indonesia', 'kelak', 'bahkan', 'saya', 'yakin', 'akan', 'mengalahkan', 'montong', 'karna', 'hal', 'rasa', 'istimewa', 'ramah', 'pemula', 'bau', 'yang', 'tidak', 'seperti', 'durian', 'sehingga', 'orang', 'yang', 'tidak', 'doyan', 'durian', 'insyaallah', 'doyan', 'mantuala', 'batuhayam', 'orang', 'eropa', 'dan', 'amerika', 'yang', 'mayoritas', 'gak', 'doyan', 'durian', 'bakal', 'doyan', 'varietas', 'ini', 'selain', 'itu', 'om', 'ben', 'mantuala', 'batuhayam', 'punya', 'daya', 'simpan', 'yang', 'gila', 'difrozen', 'berbulan', 'bulan', 'rasanya', 'tidak', 'berubah', 'ini', 'yang', 'bikin', 'saya', 'yakin', 'durian', 'ini', 'amat', 'sangat', 'potensial', 'jadi', 'maskot', 'pertanian', 'indonesia', 'tolong', 'om', 'ben', 'boleh', 'dipelajari', 'dulu', 'apa', 'itu', 'mantuala', 'batuhayam', 'karna', 'ini', 'varietas', 'baru', 'persilangan', 'dari', 'kalimantan', 'selatan', 'dicicipi', 'dulu', 'juga', 'boleh', 'syukur', 'syukur', 'kalau', 'om', 'ben', 'mau', 'buka', 'kebun', 'durian', 'mantuala', 'batuhayam', 'atau', 'sekedar', 'investasi']","['om', 'ben', 'tolong', 'sangat', 'angkat', 'durian', 'varietas', 'mantuala', 'batuhayam', 'varietas', 'baru', 'temukan', 'tahun', 'belakangan', 'sekarang', 'baru', 'viral', 'kalangan', 'petani', 'durian', 'sumpah', 'tidak', 'ada', 'maksud', 'nyari', 'keuntungan', 'sama', 'sekali', 'tidak', 'jual', 'bibitnya', 'belum', 'punya', 'pohonnya', 'murni', 'tulus', 'demi', 'kebaikan', 'dunia', 'pertanian', 'indonesia', 'sumpah', 'om', 'ben', 'durian', 'unik', 'amat', 'sangat', 'potensial', 'sekali', 'menjadi', 'komoditas', 'andalan', 'indonesia', 'kelak', 'bahkan', 'yakin', 'akan', 'mengalahkan', 'montong', 'karna', 'hal', 'rasa', 'istimewa', 'ramah', 'pemula', 'bau', 'tidak', 'seperti', 'durian', 'sehingga', 'orang', 'tidak', 'doyan', 'durian', 'insyaallah', 'doyan', 'mantuala', 'batuhayam', 'orang', 'eropa', 'amerika', 'mayoritas', 'gak', 'doyan', 'durian', 'bakal', 'doyan', 'varietas', 'selain', 'om', 'ben', 'mantuala', 'batuhayam', 'punya', 'daya', 'simpan', 'gila', 'difrozen', 'berbulan', 'bulan', 'rasanya', 'tidak', 'berubah', 'bikin', 'yakin', 'durian', 'amat', 'sangat', 'potensial', 'jadi', 'maskot', 'pertanian', 'indonesia', 'tolong', 'om', 'ben', 'boleh', 'dipelajari', 'dulu', 'apa', 'mantuala', 'batuhayam', 'karna', 'varietas', 'baru', 'persilangan', 'kalimantan', 'selatan', 'dicicipi', 'dulu', 'boleh', 'syukur', 'syukur', 'kalau', 'om', 'ben', 'mau', 'buka', 'kebun', 'durian', 'mantuala', 'batuhayam', 'sekedar', 'investasi']",om ben tolong sangat angkat durian varietas mantuala batuhayam varietas baru temu tahun belakang sekarang baru viral kalang tani durian sumpah tidak ada maksud nyari untung sama sekali tidak jual bibit belum punya pohon murni tulus demi baik dunia tani indonesia sumpah om ben durian unik amat sangat potensial sekali jadi komoditas andal indonesia kelak bahkan yakin akan kalah montong karna hal rasa istimewa ramah mula bau tidak seperti durian sehingga orang tidak doyan durian insyaallah doyan mantuala batuhayam orang eropa amerika mayoritas gak doyan durian bakal doyan varietas selain om ben mantuala batuhayam punya daya simpan gila difrozen bulan bulan rasa tidak ubah bikin yakin durian amat sangat potensial jadi maskot tani indonesia tolong om ben boleh ajar dulu apa mantuala batuhayam karna varietas baru silang kalimantan selatan cicip dulu boleh syukur syukur kalau om ben mau buka kebun durian mantuala batuhayam dar investasi
